Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,170.5484619140625,172.00601196289062,166.0405731201172,166.80691528320312,134.893310546875,2540313
2008-01-03,167.01727294921875,170.5484619140625,159.1134490966797,160.89405822753906,130.1117401123047,3966308
2008-01-04,159.2787322998047,162.34410095214844,156.2734832763672,161.71299743652344,130.7739715576172,4432719
2008-01-07,161.9008331298828,164.53794860839844,157.7460479736328,159.52667236328125,129.00595092773438,4047460
2008-01-08,158.5274200439453,163.4785919189453,156.72427368164062,161.5552215576172,130.64639282226562,4288253
2008-01-09,159.18858337402344,163.00526428222656,159.18858337402344,161.56272888183594,130.6524658203125,1598477
2008-01-10,162.28399658203125,164.95867919921875,160.33058166503906,163.0954132080078,131.8918914794922,2772025
2008-01-11,163.78662109375,165.1765594482422,159.2787322998047,162.2990264892578,131.24789428710938,2636854
2008-01-14,169.04583740234375,171.7505645751953,164.1622772216797,168.38467407226562,136.169189453125,5713326
2008-01-15,168.5950469970703,173.2156219482422,168.5950469970703,171.57025146484375,138.74533081054688,2835458
2008-01-16,170.398193359375,170.5484619140625,166.79188537597656,167.42298889160156,135.39154052734375,2983979
2008-01-17,167.91134643554688,167.91885375976562,162.28399658203125,163.78662109375,132.4508819580078,4207759
2008-01-18,163.8317108154297,164.91360473632812,160.03004455566406,161.51014709472656,130.60992431640625,2717494
2008-01-21,161.8707733154297,163.2456817626953,155.52215576171875,158.53494262695312,128.20394897460938,3325744
2008-01-22,155.50714111328125,165.25169372558594,151.01426696777344,158.17430114746094,127.91230010986328,5977342
2008-01-23,160.8564910888672,165.5146484375,159.75958251953125,165.37940979003906,133.73890686035156,3080776
2008-01-24,166.79188537597656,168.51991271972656,163.03530883789062,166.79188537597656,134.8811492919922,2460428
2008-01-25,166.7167510986328,169.42149353027344,162.28399658203125,164.45529174804688,132.9916229248047,2394882
2008-01-28,161.90834045410156,165.2892608642578,156.9496612548828,161.37490844726562,130.50057983398438,1886081
2008-01-29,161.41998291015625,163.78662109375,160.03004455566406,161.87828063964844,130.90762329101562,1345245
2008-01-30,163.03530883789062,163.03530883789062,154.92111206054688,161.3523712158203,130.4823760986328,3904085
2008-01-31,158.51991271972656,160.03004455566406,154.77084350585938,154.7933807373047,125.17823028564453,1850754
2008-02-01,154.01202392578125,154.01202392578125,149.43650817871094,152.1487579345703,123.0395736694336,2857251
2008-02-04,153.7265167236328,161.2697296142578,153.26821899414062,159.2637176513672,128.79327392578125,3932616
2008-02-05,159.2787322998047,159.2787322998047,156.2734832763672,157.31028747558594,127.21357727050781,1128461
2008-02-13,156.2734832763672,156.2734832763672,151.76559448242188,152.51690673828125,123.33727264404297,661735
2008-02-14,154.01953125,154.6957244873047,151.84071350097656,152.59954833984375,123.40412139892578,1005724
2008-02-15,152.49436950683594,152.51690673828125,148.7603302001953,151.0743865966797,122.1707534790039,1705157
2008-02-18,151.61532592773438,155.5972900390625,151.61532592773438,155.4921112060547,125.74322509765625,1673974
